Country,id,Alcoholic Beverages,Animal Products,Animal fats,Cereals - Excluding Beer,Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Oilcrops,Starchy Roots,Sugar & Sweeteners,Vegetal Products,Vegetable Oils,Recovered,Mortality,,,,,,,,,,,,,,,,,
Georgia, GEO,1.2367,8.8138,1.6025,25.6053,0.8361,2.3689,4.0759,0.1916,1.4806,6.6539,41.1949,3.205,84,1,,,,,,,,,,,,,,,,,
Germany, DEU,3.2902,15.3684,4.162,12.4016,1.5607,5.0759,4.9072,0.4781,1.7717,6.482,34.6316,6.1867,73,2,,,,,,,,,,,,,,,,,
Ghana, GHA,0.3956,2.1263,0.0989,13.8784,5.6865,0.7417,0.2308,1.6812,19.6143,1.9779,47.8655,2.4065,98,1,,,,,,,,,,,,,,,,,
Greece, GRC,1.0285,11.4771,0.7006,14.4731,2.2954,4.1586,5.4255,0.8794,1.5203,4.2629,38.5303,10.1654,8,3,,,,,,,,,,,,,,,,,
Grenada, GRD,1.9979,12.2581,0.7284,13.7565,3.5588,5.7648,3.8085,1.1863,1.1446,7.9084,37.7523,4.9116,48,NA,,,,,,,,,,,,,,,,,
Guatemala, GTM,0.5887,5.5534,0.3925,23.8619,1.3736,2.551,1.4914,1.0793,0.3532,9.3995,44.4662,3.748,91,3,,,,,,,,,,,,,,,,,
Guinea, GIN,0.0894,2.415,0.161,24.8479,2.5939,1.0376,0.6619,1.8784,6.7979,2.2182,47.585,6.6547,95,1,,,,,,,,,,,,,,,,,
Guinea-Bissau, GNB,0.6881,3.8624,0.1554,28.6127,1.9534,2.5971,0.8657,0.5771,4.1065,0.6881,46.1487,7.5028,97,2,,,,,,,,,,,,,,,,,
Guyana, GUY,0.5719,9.0121,0.208,21.2998,2.253,3.6915,4.1075,2.5303,1.3345,5.5459,40.9879,1.8371,86,3,,,,,,,,,,,,,,,,,
Haiti, HTI,2.0559,3.7884,0.3234,21.5754,2.9568,2.079,1.0626,0.8085,5.7057,4.0425,46.2,4.5507,86,2,,,,,,,,,,,,,,,,,
